,Clothing ID,Review Text,Department Name,Class Name
0,5,very good purchase made,Tops,Sweaters
1,14,happy with the colour,Bottoms,Pants
2,16,very good and nice,Bottoms,Skirts
3,19,very good purchase made,Bottoms,Skirts
4,30,overall very satisfied with the product quality,Bottoms,Jeans
5,7,good colour but fit is not good,Tops,Sweaters
6,17,not good colour,Bottoms,Pants
7,3,very goog and satisfied with the excellent delivery,Tops,Sweaters
8,21,wonderful experience in this very efficient app,Tops,Sweaters
9,19,what a beautiful product and excellent service,Bottoms,Skirts
10,4,good product exclusive delivery very satisfied,Dresses,Dresses
11,23,good product and very good quality,Jackets,Jackets
12,29,okay product but colour is not good,Dresses,Dresses
13,18,very good purchase will buy again from this site,Bottoms,Skirts
14,13,satisfied with the product colour could be better but the delivery was very fast,Tops,Sweaters
15,24,good and comfortable,Jackets,Jackets
16,6,horrendous experience very dissapointed with the product bad quality,Jackets,Jackets
17,32,very good purchase and excellent delivery,Dresses,Dresses
18,15,excellent purchase very happy with it,Bottoms,Pants
19,4,not as expected unsatisfied with the color,Dresses,Dresses
20,4,very good product happy with it,Dresses,Dresses
21,8,"very good product, quality is very good",Tops,Sweaters
22,17,good product and good service and quality,Bottoms,Pants
23,31,good product as i expected from this excellent brand. Will buy again.,Bottoms,Jeans
24,6,not as in picture but ok,Jackets,Jackets
25,38,Very Good Product,Dresses,Dresses
26,20,good product accurate colour and good delivery,Footwear,Footwear
27,20,beautiful product excellent quality nice experience,Footwear,Footwear
28,20,excellent product and nice purchse,Footwear,Footwear
29,20,"good product, fantastic service and expected price",Footwear,Footwear
30,157,"good product, good quality",Jackets,Jackets
31,5,Beautiful design and very warm. My new favorite sweater,Tops,Sweaters
32,5,The brown color is rich and the sweater is incredibly soft. Worth every penny,Tops,Sweaters
33,5,Super cozy and the perfect shade of brown. Great for fall.,Tops,Sweaters
34,5,"Nice color, but the fit is a bit loose. Still very warm and comfortable",Tops,Sweaters
35,5,good good The brown color is rich and the sweater is incredibly soft. Worth every penny,Tops,Sweaters
36,5,"The brown color is nice, but the fabric is itchy. Not very comfortable",Tops,Sweaters
37,12,"Very good product, good quality, good good good",Footwear,Footwear
38,12,"bad Product, very bad proct, not durable ",Footwear,Footwear
39,7,"bad product, Bad Color",Tops,Sweaters
40,7,"Elegant Hoodie that's soft and comfortable. Highly recommended, good Product",Tops,Sweaters
41,7,"Elegant off-white sweater that's soft and comfortable. Highly recommended, Vey Good Product, very good ",Tops,Sweaters
42,14,Stylish green trousers with a perfect fit. Very comfortable and chic.,Bottoms,Pants
43,14,The green color is vibrant and the material is high-quality. Love these trousers,Bottoms,Pants
44,16,Elegant off-white bottoms that go with everything. Very pleased with my purchase,Bottoms,Skirts
45,16,Perfect fit and the off-white color is chic. Highly recommend!,Bottoms,Skirts
46,12,"So fresh, so clean! ** These white sneakers are my new obsession. Love the classic look and comfy feel",Footwear,Footwear
47,12,Walks like a dream! ✨ These white sneaks are supportive and stylish. Perfect for everyday adventures.,Footwear,Footwear
48,157,Statement piece alert! This black leather jacket with its stand collar is pure rockstar vibes. Love the instant cool factor it adds to any outfit.,Jackets,Jackets
49,157,"Obsessed with this jacket! The quality of the leather is amazing, and the stand collar makes it super unique. So happy I found this timeless piece.",Jackets,Jackets
50,20,"Treat your feet! These plush pink slippers are like walking on clouds. Perfect for pampering yourself after a long day, they're pure comfort and luxury.",Footwear,Footwear
51,20,"So comfy, I never want to take them off! These pink slippers are the ultimate in cozy relaxation. The color is adorable, and they're the perfect way to unwind at home.",Footwear,Footwear
52,143,Showstopper style! This vibrant floral high-waisted dress is a total head-turner. The flattering fit and beautiful colors make you feel confident and stylish.,Dresses,Dresses
53,143,"Blooming beauty indeed! This floral dress is not just gorgeous, it's surprisingly comfy too. The high waist is super flattering, and the colors are perfect for spring and summer.",Dresses,Dresses
54,42,"Sunshine in a dress! This cheerful orange dress is perfect for soaking up the summer sun. It's fun, flirty, and sure to make you feel like a ray of sunshine.",Dresses,Dresses
55,157,"Summer vibes all around! This orange dress is the perfect excuse to twirl and dance in the warm weather. It's flowy, flattering, and full of summer fun.",Jackets,Jackets
56,132,Adorable and airy! This green dot dress with short sleeves is perfect for warm weather days. The playful pattern and comfortable fit make it a summer favorite.,Dresses,Dresses
57,132,"Fresh summer style! This green polka dot dress is a breath of fresh air. The short sleeves keep you cool, and the pattern is simply adorable. Perfect for a casual summer outing!",Dresses,Dresses
58,145,"Timeless elegance! This navy crew neck wedding dress is a beautiful and unique choice for your special day. The classic silhouette is sophisticated and modern, making you feel effortlessly chic.",Dresses,Dresses
59,145,"A touch of drama, a lot of wow! This navy wedding dress is a departure from the traditional white, but still absolutely stunning. The crew neck adds a touch of modern flair, and the color is simply gorgeous.",Dresses,Dresses
60,77,"Cozy essential! This soft off-white sweater is a must-have for any wardrobe. It's perfect for layering or wearing on its own, and the comfortable fit makes it ideal for everyday wear.",Tops,Sweaters
61,77,"Effortless style, ultimate comfort! This off-white sweater is the perfect way to elevate your casual look. It's soft, cozy, and goes with everything in your closet.",Tops,Sweaters
62,254,"Warm hug in a sweater! This cozy cream cardigan is perfect for chilly days. The soft knit feels luxurious, and the versatile style makes it perfect for layering or wearing on its own.",Tops,Sweaters
63,254,"Comfy chic at its finest! This cream cardigan is the epitome of effortless style. It's warm, comfortable, and adds a touch of polish to any outfit.",Tops,Sweaters
